ID,Area,Year,Income Type,Source,Period Type,State Name,Income,Income Rank,Population
520201,Stillwater,2021,Per capita income,BEA,Annual,Montana,"$64,917",3,"9,044"
520203,Sweet Grass,2021,Per capita income,BEA,Annual,Montana,"$57,852",10,"3,723"
520205,Rosebud,2021,Per capita income,BEA,Annual,Montana,"$53,461",21,"8,124"
520207,Sanders,2021,Per capita income,BEA,Annual,Montana,"$42,153",48,"12,959"
520209,Sheridan,2021,Per capita income,BEA,Annual,Montana,"$55,476",17,"3,527"
520211,Ravalli,2021,Per capita income,BEA,Annual,Montana,"$56,321",16,"45,959"
520213,Richland,2021,Per capita income,BEA,Annual,Montana,"$61,645",5,"11,283"
520215,Roosevelt,2021,Per capita income,BEA,Annual,Montana,"$43,207",47,"10,821"
520217,Powder River,2021,Per capita income,BEA,Annual,Montana,"$39,838",50,"1,702"
520219,Powell,2021,Per capita income,BEA,Annual,Montana,"$50,932",26,"6,999"
520221,Prairie,2021,Per capita income,BEA,Annual,Montana,"$49,204",31,"1,091"
520223,Petroleum,2021,Per capita income,BEA,Annual,Montana,"$31,503",56,519
520225,Phillips,2021,Per capita income,BEA,Annual,Montana,"$44,926",44,"4,192"
520227,Pondera,2021,Per capita income,BEA,Annual,Montana,"$52,704",23,"5,994"
520231,Musselshell,2021,Per capita income,BEA,Annual,Montana,"$49,553",30,"4,896"
520233,Park,2021,Per capita income,BEA,Annual,Montana,"$59,558",7,"17,473"
520236,Meagher,2021,Per capita income,BEA,Annual,Montana,"$46,835",39,"1,964"
520238,Mineral,2021,Per capita income,BEA,Annual,Montana,"$45,966",43,"4,860"
520240,Missoula,2021,Per capita income,BEA,Annual,Montana,"$61,881",4,"119,533"
520242,Lincoln,2021,Per capita income,BEA,Annual,Montana,"$43,782",46,"20,525"
520244,McCone,2021,Per capita income,BEA,Annual,Montana,"$46,848",38,"1,718"
520246,Madison,2021,Per capita income,BEA,Annual,Montana,"$74,468",1,"8,917"
520247,Lake,2021,Per capita income,BEA,Annual,Montana,"$46,387",41,"32,033"
520249,Lewis and Clark,2021,Per capita income,BEA,Annual,Montana,"$56,791",13,"72,223"
520252,Liberty,2021,Per capita income,BEA,Annual,Montana,"$57,219",12,"1,946"
520253,Hill,2021,Per capita income,BEA,Annual,Montana,"$51,060",25,"16,179"
520255,Jefferson,2021,Per capita income,BEA,Annual,Montana,"$56,632",14,"12,470"
520257,Judith Basin,2021,Per capita income,BEA,Annual,Montana,"$48,352",35,"2,044"
520259,Glacier,2021,Per capita income,BEA,Annual,Montana,"$41,159",49,"13,785"
520261,Golden Valley,2021,Per capita income,BEA,Annual,Montana,"$53,046",22,831
520263,Granite,2021,Per capita income,BEA,Annual,Montana,"$51,995",24,"3,344"
520266,Gallatin,2021,Per capita income,BEA,Annual,Montana,"$70,276",2,"122,713"
520269,Garfield,2021,Per capita income,BEA,Annual,Montana,"$37,365",53,"1,209"
520271,Fallon,2021,Per capita income,BEA,Annual,Montana,"$49,165",32,"3,017"
520273,Fergus,2021,Per capita income,BEA,Annual,Montana,"$46,685",40,"11,617"
520275,Flathead,2021,Per capita income,BEA,Annual,Montana,"$58,964",9,"108,454"
520277,Daniels,2021,Per capita income,BEA,Annual,Montana,"$57,661",11,"1,686"
520279,Dawson,2021,Per capita income,BEA,Annual,Montana,"$47,459",37,"8,904"
520281,Deer Lodge,2021,Per capita income,BEA,Annual,Montana,"$46,384",42,"9,491"
520285,Chouteau,2021,Per capita income,BEA,Annual,Montana,"$39,287",52,"5,916"
520287,Custer,2021,Per capita income,BEA,Annual,Montana,"$50,535",27,"11,916"
520290,Carbon,2021,Per capita income,BEA,Annual,Montana,"$59,715",6,"10,847"
520292,Carter,2021,Per capita income,BEA,Annual,Montana,"$39,354",51,"1,428"
520294,Cascade,2021,Per capita income,BEA,Annual,Montana,"$53,765",20,"84,511"
520296,Big Horn,2021,Per capita income,BEA,Annual,Montana,"$36,517",54,"12,957"
520298,Blaine,2021,Per capita income,BEA,Annual,Montana,"$34,095",55,"6,980"
520300,Broadwater,2021,Per capita income,BEA,Annual,Montana,"$47,541",36,"7,288"
520306,Beaverhead,2021,Per capita income,BEA,Annual,Montana,"$54,430",19,"9,524"
417930,Wibaux,2019,Per capita income,BEA,Annual,Montana,"$42,078",39,969
